24-01-2021 02:00:53.430 [main] INFO  SpringBootTestContextBootstrapper Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.albo.comics.scheduler.AlboComicsSchedulerApplicationTests], using SpringBootContextLoader
24-01-2021 02:03:46.549 [main] INFO  AnnotationConfigContextLoaderUtils Could not detect default configuration classes for test class [com.albo.comics.scheduler.AlboComicsSchedulerApplicationTests]: AlboComicsSchedulerApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
24-01-2021 02:03:46.619 [main] INFO  SpringBootTestContextBootstrapper Found @SpringBootConfiguration com.albo.comics.scheduler.AlboComicsSchedulerApplication for test class com.albo.comics.scheduler.AlboComicsSchedulerApplicationTests
24-01-2021 02:03:46.685 [main] INFO  SpringBootTestContextBootstrapper Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
24-01-2021 02:03:46.697 [main] INFO  SpringBootTestContextBootstrapper Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@757d6814, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@649725e3, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@3c0fae6c, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4c168660, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@52b56a3e, org.springframework.test.context.support.DirtiesContextTestExecutionListener@fd0e5b6, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4eed46ee, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@36b0fcd5, org.springframework.test.context.event.EventPublishingTestExecutionListener@4fad94a7, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@475835b1, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6326d182, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5241cf67, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@716a7124, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@77192705, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@226642a5]
24-01-2021 02:03:46.910 [main] INFO  AlboComicsSchedulerApplicationTests Starting AlboComicsSchedulerApplicationTests using Java 11.0.9.1 on MSI with PID 3520 (started by Ing_O in C:\Users\Ing_O\eclipse-workspace\comics\alboComicsScheduler)
24-01-2021 02:03:46.912 [main] INFO  AlboComicsSchedulerApplicationTests No active profile set, falling back to default profiles: default
24-01-2021 02:03:47.344 [main] INFO  RepositoryConfigurationDelegate Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
24-01-2021 02:03:47.386 [main] INFO  RepositoryConfigurationDelegate Finished Spring Data repository scanning in 37 ms. Found 1 MongoDB repository interfaces.
24-01-2021 02:03:47.916 [main] INFO  cluster Cluster created with settings {hosts=[127.0.0.1:27017], srvHost=cluster0.zccxh.mongodb.net, mode=MULTIPLE, requiredClusterType=REPLICA_SET, serverSelectionTimeout='30000 ms', requiredReplicaSetName='atlas-s3nd0f-shard-0'}
24-01-2021 02:03:47.977 [cluster-ClusterId{value='600d29e307430611fd6b57d6', description='null'}-srv-cluster0.zccxh.mongodb.net] INFO  cluster Adding discovered server cluster0-shard-00-02.zccxh.mongodb.net:27017 to client view of cluster
24-01-2021 02:03:48.002 [cluster-ClusterId{value='600d29e307430611fd6b57d6', description='null'}-srv-cluster0.zccxh.mongodb.net] INFO  cluster Adding discovered server cluster0-shard-00-01.zccxh.mongodb.net:27017 to client view of cluster
24-01-2021 02:03:48.003 [cluster-ClusterId{value='600d29e307430611fd6b57d6', description='null'}-srv-cluster0.zccxh.mongodb.net] INFO  cluster Adding discovered server cluster0-shard-00-00.zccxh.mongodb.net:27017 to client view of cluster
24-01-2021 02:03:48.162 [main] INFO  ScheduledTask Starting insert data comics job...
24-01-2021 02:03:48.663 [cluster-ClusterId{value='600d29e307430611fd6b57d6', description='null'}-cluster0-shard-00-02.zccxh.mongodb.net:27017] INFO  connection Opened connection [connectionId{localValue:1, serverValue:185807}] to cluster0-shard-00-02.zccxh.mongodb.net:27017
24-01-2021 02:03:48.663 [cluster-rtt-ClusterId{value='600d29e307430611fd6b57d6', description='null'}-cluster0-shard-00-02.zccxh.mongodb.net:27017] INFO  connection Opened connection [connectionId{localValue:3, serverValue:185221}] to cluster0-shard-00-02.zccxh.mongodb.net:27017
24-01-2021 02:03:48.663 [cluster-rtt-ClusterId{value='600d29e307430611fd6b57d6', description='null'}-cluster0-shard-00-00.zccxh.mongodb.net:27017] INFO  connection Opened connection [connectionId{localValue:6, serverValue:185438}] to cluster0-shard-00-00.zccxh.mongodb.net:27017
